TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.93,0.04,0.04,0.50,0.31,0.00,0.04,0.22,0.10,0.01,1.32
AT0 0,45.40,7.59,7.23,26.68,7.35,3.52,1.51,10.66,4.05,0.37,27.23
BA0 0,4.90,0.79,0.76,1.09,1.08,0.05,0.08,0.26,0.89,0.01,2.66
BE0 0,69.57,5.20,4.95,23.25,21.52,6.45,2.62,54.59,4.91,1.91,37.94
BG0 0,13.97,0.00,0.00,4.23,3.71,2.36,0.49,8.91,1.10,0.31,8.95
CH0 0,18.81,0.41,0.39,7.09,4.76,0.13,0.71,10.51,1.61,0.37,11.39
CZ0 0,39.85,5.30,5.05,11.94,6.76,1.63,1.30,11.06,3.53,0.39,22.64
DE0 0,356.04,32.48,30.95,129.13,105.43,18.87,13.39,241.36,27.01,8.45,224.88
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK3 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.57
EE6 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,154.57,5.08,4.84,47.83,25.42,3.06,4.30,34.98,12.88,1.22,75.58
ES2 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.10,0.00,0.47
FI3 0,48.90,2.84,2.70,55.27,5.44,0.64,1.77,12.62,1.40,0.44,37.89
FR0 0,174.25,10.62,10.12,73.40,33.92,8.14,6.37,61.23,14.04,2.14,107.02
GB4 0,3.34,0.00,0.00,1.16,0.74,0.20,0.13,1.19,0.40,0.04,2.03
GB5 0,154.84,9.78,9.32,47.78,19.25,6.61,5.54,36.15,9.65,1.27,90.42
GR0 0,18.58,0.00,0.00,6.37,5.45,0.91,0.42,2.37,3.22,0.08,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,22.16,1.63,1.55,7.51,6.56,2.53,0.84,14.30,1.78,0.50,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,172.45,5.18,4.93,61.41,23.85,4.28,5.80,25.81,15.01,0.90,109.40
IT1 0,5.38,0.00,0.00,1.10,0.67,0.22,0.15,1.46,0.30,0.05,3.26
LT6 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV6 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.66,0.01,1.70
ME0 0,0.75,0.02,0.02,0.29,0.16,0.00,0.02,0.08,0.15,0.00,0.36
MK0 0,2.05,0.49,0.47,0.32,0.35,0.03,0.03,0.14,0.14,0.00,1.37
NL0 0,81.25,7.45,7.09,22.99,41.06,17.12,3.68,122.89,3.14,4.30,34.25
NO3 0,34.00,1.79,1.71,9.26,12.28,2.24,0.89,19.99,6.44,0.70,17.42
PL0 0,74.54,5.75,5.48,36.29,14.25,17.58,2.16,12.65,10.66,0.44,49.48
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,3.46,0.17,15.48
RO0 0,34.10,2.43,2.32,10.24,10.23,3.93,1.07,14.45,5.26,0.51,20.53
RS0 0,15.16,1.11,1.06,4.35,3.48,0.56,0.47,7.07,0.66,0.25,9.94
SE3 0,56.63,3.12,2.98,59.75,7.58,-0.00,2.07,16.66,2.40,0.58,50.28
SI0 0,7.18,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.89,0.04,6.20
SK0 0,16.79,4.58,4.36,6.16,2.89,3.37,0.35,0.48,2.90,0.02,11.61
