TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.86,0.01,0.01,0.50,0.31,0.02,0.04,0.22,0.08,0.01,1.32
AT0 0,46.48,1.68,1.60,26.68,7.36,7.86,1.50,10.66,3.24,0.37,27.23
BA0 0,4.96,0.18,0.17,1.09,1.08,0.50,0.08,0.26,0.79,0.01,2.66
BE0 0,70.31,1.15,1.09,23.25,21.53,9.43,2.61,54.59,4.36,1.91,37.94
BG0 0,13.97,0.00,0.00,4.23,3.71,2.36,0.49,8.91,1.10,0.31,8.95
CH0 0,18.82,0.09,0.09,7.09,4.76,0.37,0.71,10.51,1.56,0.37,11.39
CZ0 0,40.60,1.17,1.12,11.94,6.77,4.66,1.30,11.06,2.96,0.39,22.64
DE0 0,359.12,7.18,6.84,129.13,105.48,37.45,13.35,241.36,23.35,8.45,224.88
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK3 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.57
EE6 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,154.62,1.12,1.07,47.83,25.43,5.96,4.30,34.98,12.26,1.22,75.58
ES2 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.10,0.00,0.47
FI3 0,49.30,0.63,0.60,55.27,5.44,2.27,1.77,12.62,1.10,0.44,37.89
FR0 0,174.54,2.35,2.24,73.40,33.94,14.22,6.35,61.23,12.76,2.14,107.02
GB4 0,3.34,0.00,0.00,1.16,0.74,0.20,0.13,1.19,0.40,0.04,2.03
GB5 0,156.13,2.16,2.06,47.78,19.26,12.20,5.53,36.15,8.59,1.27,90.42
GR0 0,18.09,0.00,0.00,6.37,5.45,0.91,0.42,2.37,3.16,0.08,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,22.39,0.36,0.34,7.51,6.56,3.47,0.84,14.30,1.60,0.50,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,173.19,1.14,1.09,61.41,23.86,7.24,5.79,25.81,14.46,0.90,109.40
IT1 0,5.38,0.00,0.00,1.10,0.67,0.22,0.15,1.46,0.30,0.05,3.26
LT6 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV6 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.66,0.01,1.70
ME0 0,0.75,0.00,0.00,0.29,0.16,0.01,0.02,0.08,0.15,0.00,0.36
MK0 0,2.07,0.11,0.10,0.32,0.35,0.31,0.03,0.14,0.08,0.00,1.37
NL0 0,82.09,1.65,1.57,22.99,41.07,21.38,3.67,122.89,2.31,4.30,34.25
NO3 0,34.05,0.40,0.38,9.26,12.28,3.26,0.89,19.99,6.23,0.70,17.42
PL0 0,75.36,1.27,1.21,36.29,14.26,20.87,2.15,12.65,10.04,0.44,49.48
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,3.46,0.17,15.48
RO0 0,33.52,0.54,0.51,10.24,10.24,5.32,1.07,14.45,4.89,0.51,20.53
RS0 0,15.05,0.25,0.23,4.35,3.48,1.20,0.47,7.07,0.51,0.25,9.94
SE3 0,56.69,0.69,0.66,59.75,7.58,1.78,2.06,16.66,2.02,0.58,50.28
SI0 0,6.92,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.86,0.04,6.20
SK0 0,16.84,1.01,0.96,6.16,2.90,5.99,0.35,0.48,2.33,0.02,11.61
