TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.82,0.00,0.00,0.50,0.31,0.03,0.04,0.22,0.08,0.01,1.32
AT0 0,46.76,0.00,0.00,26.68,7.37,8.94,1.49,10.66,3.01,0.37,27.23
BA0 0,4.96,0.00,0.00,1.09,1.08,0.62,0.08,0.26,0.77,0.01,2.66
BE0 0,70.51,0.00,0.00,23.25,21.53,10.17,2.61,54.59,4.20,1.91,37.94
BG0 0,13.97,0.00,0.00,4.23,3.71,2.36,0.49,8.91,1.10,0.31,8.95
CH0 0,18.81,0.00,0.00,7.09,4.76,0.43,0.71,10.51,1.55,0.37,11.39
CZ0 0,40.80,0.00,0.00,11.94,6.77,5.42,1.29,11.06,2.80,0.39,22.64
DE0 0,359.54,0.00,0.00,129.13,105.49,42.09,13.34,241.36,22.27,8.45,224.88
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK3 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.57
EE6 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,154.47,0.00,0.00,47.83,25.43,6.69,4.29,34.98,12.06,1.22,75.58
ES2 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.10,0.00,0.47
FI3 0,49.41,0.00,0.00,55.27,5.44,2.67,1.76,12.62,1.01,0.44,37.89
FR0 0,174.31,0.00,0.00,73.40,33.94,15.73,6.35,61.23,12.36,2.14,107.02
GB4 0,3.34,0.00,0.00,1.16,0.74,0.20,0.13,1.19,0.40,0.04,2.03
GB5 0,156.44,0.00,0.00,47.78,19.27,13.60,5.52,36.15,8.29,1.27,90.42
GR0 0,17.84,0.00,0.00,6.37,5.45,0.91,0.42,2.37,3.13,0.08,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,22.45,0.00,0.00,7.51,6.56,3.70,0.84,14.30,1.55,0.50,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,173.38,0.00,0.00,61.41,23.86,7.98,5.79,25.81,14.30,0.90,109.40
IT1 0,5.38,0.00,0.00,1.10,0.67,0.22,0.15,1.46,0.30,0.05,3.26
LT6 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV6 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.66,0.01,1.70
ME0 0,0.75,0.00,0.00,0.29,0.16,0.01,0.02,0.08,0.15,0.00,0.36
MK0 0,2.06,0.00,0.00,0.32,0.35,0.38,0.03,0.14,0.06,0.00,1.37
NL0 0,82.25,0.00,0.00,22.99,41.07,22.45,3.67,122.89,2.07,4.30,34.25
NO3 0,34.00,0.00,0.00,9.26,12.28,3.52,0.89,19.99,6.16,0.70,17.42
PL0 0,75.58,0.00,0.00,36.29,14.26,21.69,2.15,12.65,9.87,0.44,49.48
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,3.46,0.17,15.48
RO0 0,33.14,0.00,0.00,10.24,10.24,5.67,1.07,14.45,4.76,0.51,20.53
RS0 0,14.95,0.00,0.00,4.35,3.48,1.36,0.47,7.07,0.46,0.25,9.94
SE3 0,56.61,0.00,0.00,59.75,7.58,2.23,2.06,16.66,1.90,0.58,50.28
SI0 0,6.78,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.84,0.04,6.20
SK0 0,16.71,0.00,0.00,6.16,2.90,6.64,0.34,0.48,2.16,0.02,11.61
