TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
AL0 0,1.91,0.03,0.03,0.50,0.31,0.01,0.04,0.22,0.10,0.01,1.32
AT0 0,45.73,5.75,5.48,26.68,7.36,4.80,1.50,10.66,3.80,0.37,27.23
BA0 0,4.92,0.60,0.57,1.09,1.08,0.18,0.08,0.26,0.86,0.01,2.66
BE0 0,69.79,3.94,3.75,23.25,21.53,7.33,2.62,54.59,4.74,1.91,37.94
BG0 0,13.97,0.00,0.00,4.23,3.71,2.36,0.49,8.91,1.10,0.31,8.95
CH0 0,18.81,0.31,0.30,7.09,4.76,0.20,0.71,10.51,1.60,0.37,11.39
CZ0 0,40.08,4.02,3.83,11.94,6.76,2.52,1.30,11.06,3.35,0.39,22.64
DE0 0,357.03,24.62,23.45,129.13,105.45,24.36,13.38,241.36,25.88,8.45,224.88
DK0 0,12.70,0.00,0.00,5.25,1.15,0.00,0.41,0.00,1.43,0.00,5.83
DK3 0,4.24,0.00,0.00,1.91,0.10,0.00,0.13,0.00,0.04,0.00,2.57
EE6 0,3.20,0.00,0.00,2.31,0.22,0.28,0.13,0.00,0.25,0.00,2.09
ES0 0,154.62,3.85,3.67,47.83,25.42,3.91,4.30,34.98,12.69,1.22,75.58
ES2 0,0.76,0.00,0.00,0.42,0.10,0.00,0.03,0.00,0.10,0.00,0.47
FI3 0,49.02,2.15,2.05,55.27,5.44,1.12,1.77,12.62,1.31,0.44,37.89
FR0 0,174.40,8.05,7.67,73.40,33.93,9.94,6.36,61.23,13.65,2.14,107.02
GB4 0,3.34,0.00,0.00,1.16,0.74,0.20,0.13,1.19,0.40,0.04,2.03
GB5 0,155.23,7.41,7.06,47.78,19.25,8.26,5.54,36.15,9.32,1.27,90.42
GR0 0,18.46,0.00,0.00,6.37,5.45,0.91,0.42,2.37,3.21,0.08,12.67
HR0 0,6.55,0.00,0.00,3.31,1.40,2.96,0.26,0.00,1.50,0.00,3.72
HU0 0,22.23,1.23,1.18,7.51,6.56,2.81,0.84,14.30,1.72,0.50,15.39
IE4 0,16.52,0.00,0.00,5.64,5.56,0.00,0.47,0.00,1.10,0.00,9.84
IT0 0,172.67,3.92,3.74,61.41,23.86,5.15,5.80,25.81,14.84,0.90,109.40
IT1 0,5.38,0.00,0.00,1.10,0.67,0.22,0.15,1.46,0.30,0.05,3.26
LT6 0,4.92,0.00,0.00,2.47,0.42,6.91,0.14,0.00,0.52,0.00,3.36
LU0 0,4.92,0.00,0.00,0.73,0.99,0.00,0.10,0.00,0.65,0.00,3.16
LV6 0,3.78,0.00,0.00,3.83,0.70,-0.00,0.16,0.29,0.66,0.01,1.70
ME0 0,0.75,0.01,0.01,0.29,0.16,0.00,0.02,0.08,0.15,0.00,0.36
MK0 0,2.06,0.37,0.35,0.32,0.35,0.11,0.03,0.14,0.12,0.00,1.37
NL0 0,81.51,5.64,5.38,22.99,41.06,18.38,3.68,122.89,2.88,4.30,34.25
NO3 0,34.03,1.36,1.30,9.26,12.28,2.54,0.89,19.99,6.38,0.70,17.42
PL0 0,74.79,4.36,4.15,36.29,14.25,18.55,2.16,12.65,10.47,0.44,49.48
PT0 0,27.14,0.00,0.00,17.64,4.74,-0.06,1.02,4.78,3.46,0.17,15.48
RO0 0,33.97,1.84,1.76,10.24,10.23,4.34,1.07,14.45,5.15,0.51,20.53
RS0 0,15.14,0.84,0.80,4.35,3.48,0.75,0.47,7.07,0.62,0.25,9.94
SE3 0,56.67,2.37,2.25,59.75,7.58,0.53,2.06,16.66,2.28,0.58,50.28
SI0 0,7.11,0.00,0.00,3.48,1.21,-0.02,0.23,1.26,0.88,0.04,6.20
SK0 0,16.84,3.47,3.31,6.16,2.89,4.14,0.35,0.48,2.73,0.02,11.61
